[2019-08-20 09:13:19,202]   INFO [ no auth; http-nio-8111-exec-4] - Successful login for user 'anton' {id=1} with auth module "Default" for session FE1B7512B2... (new, created: 2019-08-20 09:13:19.038, timeout: 3600s) while processing request POST '/createAdminSubmit.html?username1=anton&submitCreateUser=&publicKey=00ac2fea97b0fbfce386f102bbf9919f8153c2fafbc36987b1aab1fcc99b6e0876c574cda63ba0f2a27eadaf94eb6c706b313564ac195563949e3c01ce1461c9c518b4e320e29a3e65ab59aad2544200d868c7fd3d7300ee22dc13b54943cffecdc4ad71a17f21e1785807c9b12a712f7c715d472cba7a41f1edeb6d8c923958e5&encryptedPassword1=1e765143858799fa4602ef7d12bd96306014a9f03c796c8a1e9e7387c6384e0e199a6befa300cd7013a9dc2b43ab60ea672379fded9a2ca74b5e231175b463a6a46811dc5249cca5436acf9...', from client 192.168.7.13:18180, authenticated as 'anton' {id=1}
[2019-08-21 09:45:30,176]   INFO [ no auth; http-nio-8111-exec-8] - Successful login for user 'anton' (Anton Nichaienko) {id=1} with auth module "Default" for session EB7717D4FB... (new, created: 2019-08-21 09:45:30.102, timeout: 3600s) while processing request POST '/loginSubmit.html?username=anton&remember=true&_remember=&submitLogin=Log%20in&publicKey=009d9f84ebada7dd46b70cc83e2095193ed971489d99d341a214fb566093b1d2f2e7975f70a29896e287f857953d21bd7c8ba88a506d55beaaf7e7bcdec987005c99248a8333e58e2e632f1875f8fd8c58b1779722acc4f7882195b7099d4aa381e58109065cda8657ccd71f9dfb80e3b8a8243739b8fb56cb976e437f148cb4a1&encryptedPassword=5654685b826b79ee01be6e68b6b92e96bd0462e8672dac31dab76ac6ec38846c5bf3a8599484e686ddc566f1f06e3df794107dd0e392bc636bf257a419cd8e3688e...', from client 192.168.7.13:22712, authenticated as 'anton' (Anton Nichaienko) {id=1}
[2019-08-28 13:43:48,789]   INFO [no auth; http-nio-8111-exec-10] - Login for username "admin" failed, see details below
[2019-08-28 13:43:48,812]   INFO [no auth; http-nio-8111-exec-10] - Login for user "admin" failed for module "Special Users" (jetbrains.buildServer.serverSide.impl.auth.SpecialUsersLoginModule), took 23ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Not a special user or login as special user is not allowed
[2019-08-28 13:43:48,812]   INFO [no auth; http-nio-8111-exec-10] - Login for user "admin" failed for module "Built-in" (jetbrains.buildServer.serverSide.impl.auth.DefaultLoginModule), took 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Incorrect username or password.
[2019-08-28 13:43:48,812]   INFO [no auth; http-nio-8111-exec-10] - Login for user "admin" failed for module "Token-Based Authentication" (jetbrains.buildServer.serverSide.impl.auth.TokenBasedLoginModule), took 9ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Malformed token
[2019-08-28 13:43:48,813]   INFO [no auth; http-nio-8111-exec-10] - Failed user login attempt for POST '/loginSubmit.html?username=admin&remember=true&_remember=&submitLogin=Log%20in&publicKey=00a9709ed58bc13379cb5180379316b7b1e8bf806f8c77eb68f973fe9a9cb0bea1ca8948ff3d88aff7f82f8bd43e263dd5b471a80a016b43055fce3ccb4bd0bb8fc558117de81a999e1c29313057a83fe64e2c5245c5513545113a286c3e0eb48fb18b73f7d387dfa65888fb2f7cbda4f44c64654c753ffd22671a865160d8b44f&encryptedPassword=96ace8bd803e7be527115eec76383ba31457de80f8d380fef571c5412022b7422263fda231ef3868015825e179ed512916abf95fcbe5b09b9fe722d829b629a657f...', from client 192.168.7.13:20747, no auth: jetbrains.buildServer.serverSide.auth.AuthenticationFailedException: Incorrect username or password.
[2019-08-28 13:44:03,017]   INFO [ no auth; http-nio-8111-exec-9] - Login for username "admin" failed, see details below
[2019-08-28 13:44:03,023]   INFO [ no auth; http-nio-8111-exec-9] - Login for user "admin" failed for module "Special Users" (jetbrains.buildServer.serverSide.impl.auth.SpecialUsersLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Not a special user or login as special user is not allowed
[2019-08-28 13:44:03,023]   INFO [ no auth; http-nio-8111-exec-9] - Login for user "admin" failed for module "Built-in" (jetbrains.buildServer.serverSide.impl.auth.DefaultLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Incorrect username or password.
[2019-08-28 13:44:03,023]   INFO [ no auth; http-nio-8111-exec-9] - Login for user "admin" failed for module "Token-Based Authentication" (jetbrains.buildServer.serverSide.impl.auth.TokenBasedLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Malformed token
[2019-08-28 13:44:03,024]   INFO [ no auth; http-nio-8111-exec-9] - Failed user login attempt for POST '/loginSubmit.html?username=admin&remember=true&_remember=&submitLogin=Log%20in&publicKey=00a9709ed58bc13379cb5180379316b7b1e8bf806f8c77eb68f973fe9a9cb0bea1ca8948ff3d88aff7f82f8bd43e263dd5b471a80a016b43055fce3ccb4bd0bb8fc558117de81a999e1c29313057a83fe64e2c5245c5513545113a286c3e0eb48fb18b73f7d387dfa65888fb2f7cbda4f44c64654c753ffd22671a865160d8b44f&encryptedPassword=7de47bbb711f66d4f79a4c48f0a3b1587b9047c05ed5540dc343656dbba6c4d0995bebba0950392b24d180fe8e5fb19f6157907f9af078542afe40123ca1deee771...', from client 192.168.7.13:20747, no auth: jetbrains.buildServer.serverSide.auth.AuthenticationFailedException: Incorrect username or password.
[2019-08-28 13:44:07,983]   INFO [ no auth; http-nio-8111-exec-8] - Login for username "admin" failed, see details below
[2019-08-28 13:44:07,990]   INFO [ no auth; http-nio-8111-exec-8] - Login for user "admin" failed for module "Special Users" (jetbrains.buildServer.serverSide.impl.auth.SpecialUsersLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Not a special user or login as special user is not allowed
[2019-08-28 13:44:07,990]   INFO [ no auth; http-nio-8111-exec-8] - Login for user "admin" failed for module "Built-in" (jetbrains.buildServer.serverSide.impl.auth.DefaultLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Incorrect username or password.
[2019-08-28 13:44:07,990]   INFO [ no auth; http-nio-8111-exec-8] - Login for user "admin" failed for module "Token-Based Authentication" (jetbrains.buildServer.serverSide.impl.auth.TokenBasedLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Malformed token
[2019-08-28 13:44:07,990]   INFO [ no auth; http-nio-8111-exec-8] - Failed user login attempt for POST '/loginSubmit.html?username=admin&remember=true&_remember=&submitLogin=Log%20in&publicKey=00a9709ed58bc13379cb5180379316b7b1e8bf806f8c77eb68f973fe9a9cb0bea1ca8948ff3d88aff7f82f8bd43e263dd5b471a80a016b43055fce3ccb4bd0bb8fc558117de81a999e1c29313057a83fe64e2c5245c5513545113a286c3e0eb48fb18b73f7d387dfa65888fb2f7cbda4f44c64654c753ffd22671a865160d8b44f&encryptedPassword=4cdc955ccec9101942c6d572db8f4d48e1cbc5f5eabb35124636d9824bba5f6e92de7ccc810c2b41432b6704860a80dac7bb2ff53693d0c6c9f1e6ed490bfe92120...', from client 192.168.7.13:20747, no auth: jetbrains.buildServer.serverSide.auth.AuthenticationFailedException: Incorrect username or password.
[2019-08-28 13:44:17,227]   INFO [ no auth; http-nio-8111-exec-7] - Login for username "admin" failed, see details below
[2019-08-28 13:44:17,228]   INFO [ no auth; http-nio-8111-exec-7] - Login for user "admin" failed for module "Special Users" (jetbrains.buildServer.serverSide.impl.auth.SpecialUsersLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Not a special user or login as special user is not allowed
[2019-08-28 13:44:17,228]   INFO [ no auth; http-nio-8111-exec-7] - Login for user "admin" failed for module "Built-in" (jetbrains.buildServer.serverSide.impl.auth.DefaultLoginModule), took 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Incorrect username or password.
[2019-08-28 13:44:17,228]   INFO [ no auth; http-nio-8111-exec-7] - Login for user "admin" failed for module "Token-Based Authentication" (jetbrains.buildServer.serverSide.impl.auth.TokenBasedLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Malformed token
[2019-08-28 13:44:17,228]   INFO [ no auth; http-nio-8111-exec-7] - Failed user login attempt for POST '/loginSubmit.html?username=admin&remember=true&_remember=&submitLogin=Log%20in&publicKey=00a9709ed58bc13379cb5180379316b7b1e8bf806f8c77eb68f973fe9a9cb0bea1ca8948ff3d88aff7f82f8bd43e263dd5b471a80a016b43055fce3ccb4bd0bb8fc558117de81a999e1c29313057a83fe64e2c5245c5513545113a286c3e0eb48fb18b73f7d387dfa65888fb2f7cbda4f44c64654c753ffd22671a865160d8b44f&encryptedPassword=3b68da785a7f4b9cb6f5344bbe452d2dc63dd4c45a4421676604ccd4ff4d33f1c7d387c01dbf005f88d6483431445d877dddb568a7f2871ec364e80366780cc327f...', from client 192.168.7.13:20747, no auth: jetbrains.buildServer.serverSide.auth.AuthenticationFailedException: Incorrect username or password.
[2019-08-28 13:44:27,823]   INFO [ no auth; http-nio-8111-exec-2] - Login for username "admin" failed, see details below
[2019-08-28 13:44:27,823]   INFO [ no auth; http-nio-8111-exec-2] - Login for user "admin" failed for module "Special Users" (jetbrains.buildServer.serverSide.impl.auth.SpecialUsersLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Not a special user or login as special user is not allowed
[2019-08-28 13:44:27,823]   INFO [ no auth; http-nio-8111-exec-2] - Login for user "admin" failed for module "Built-in" (jetbrains.buildServer.serverSide.impl.auth.DefaultLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Incorrect username or password.
[2019-08-28 13:44:27,824]   INFO [ no auth; http-nio-8111-exec-2] - Login for user "admin" failed for module "Token-Based Authentication" (jetbrains.buildServer.serverSide.impl.auth.TokenBasedLoginModule), took < 1ms. Details: jetbrains.buildServer.serverSide.auth.TeamCityFailedLoginException: Malformed token
[2019-08-28 13:44:27,824]   INFO [ no auth; http-nio-8111-exec-2] - Failed user login attempt for POST '/loginSubmit.html?username=admin&remember=true&_remember=&submitLogin=Log%20in&publicKey=00a9709ed58bc13379cb5180379316b7b1e8bf806f8c77eb68f973fe9a9cb0bea1ca8948ff3d88aff7f82f8bd43e263dd5b471a80a016b43055fce3ccb4bd0bb8fc558117de81a999e1c29313057a83fe64e2c5245c5513545113a286c3e0eb48fb18b73f7d387dfa65888fb2f7cbda4f44c64654c753ffd22671a865160d8b44f&encryptedPassword=155e2bb0f45fadd6d03fd6579e9de1f125c9a32b22c971e764ab7f94ab087039383c5ddde34bcb99dba947f9bdf177d0b6329de57e1fcd4b6b6f7a247ab0eb1b0c0...', from client 192.168.7.13:20747, no auth: jetbrains.buildServer.serverSide.auth.AuthenticationFailedException: Incorrect username or password.
[2019-08-28 13:45:26,202]   INFO [ no auth; http-nio-8111-exec-5] - Successful login for user 'anton' (Anton Nichaienko) {id=1} with auth module "Default" for session 441D13729E... (new, created: 2019-08-28 13:45:26.173, timeout: 3600s) while processing request POST '/loginSubmit.html?username=anton&remember=true&_remember=&submitLogin=Log%20in&publicKey=00a9709ed58bc13379cb5180379316b7b1e8bf806f8c77eb68f973fe9a9cb0bea1ca8948ff3d88aff7f82f8bd43e263dd5b471a80a016b43055fce3ccb4bd0bb8fc558117de81a999e1c29313057a83fe64e2c5245c5513545113a286c3e0eb48fb18b73f7d387dfa65888fb2f7cbda4f44c64654c753ffd22671a865160d8b44f&encryptedPassword=268a71a52979822ef1d5628bb98b8900226cc786985ba7ece870033cddf909384ce13fbf523f75d1e05d89d969b85c83a85e656577d2f3f49f6b37a9638293ceb17...', from client 192.168.7.13:20747, authenticated as 'anton' (Anton Nichaienko) {id=1}
[2019-08-28 14:10:19,940]   INFO [no auth; http-nio-8111-exec-10] - Found user 'anton' (Anton Nichaienko) {id=1} by RememberMe cookie for request GET '/viewLog.html?buildId=5&buildTypeId=GitDevOps03_GitDevOps03&tab=buildLog&_focus=91', from client 192.168.7.13:21970, no auth, session: 3437BCD002...
[2019-08-28 14:10:20,022]   INFO [no auth; http-nio-8111-exec-10] - Successful login for user 'anton' (Anton Nichaienko) {id=1} for session 3437BCD002... (new, created: 2019-08-28 14:10:04.224, timeout: 3600s) while processing request GET '/viewLog.html?buildId=5&buildTypeId=GitDevOps03_GitDevOps03&tab=buildLog&_focus=91', from client 192.168.7.13:21970, authenticated as 'anton' (Anton Nichaienko) {id=1}
[2019-08-28 14:27:16,296]   INFO [ no auth; http-nio-8111-exec-2] - Found user 'anton' (Anton Nichaienko) {id=1} by RememberMe cookie for request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 192.168.7.13:22746, no auth
[2019-08-28 14:27:16,308]   INFO [ no auth; http-nio-8111-exec-2] - Successful login for user 'anton' (Anton Nichaienko) {id=1} for session 646C00FF10... (created: 2019-08-28 14:27:16.302, timeout: 3600s) while processing request GET '/app/rest/ui/server?fields=startTime%2CbuildNumber', from client 192.168.7.13:22746, authenticated as 'anton' (Anton Nichaienko) {id=1}
